x,y,GRID,GID,Lon,Lat
-122.0416676,39.3750004,981,I00981,-122.042,39.375
-122.0416676,39.54166706,983,I00983,-122.042,39.542
-122.0416676,39.62500039,984,I00984,-122.042,39.625
-122.0416676,39.70833372,985,I00985,-122.042,39.708
-122.0416676,39.79166705,986,I00986,-122.042,39.792
-122.0416676,39.87500038,987,I00987,-122.042,39.875
-121.9583343,38.12500045,1027,I01027,-121.958,38.125
-121.9583343,38.29166711,1029,I01029,-121.958,38.292
-121.9583343,38.37500044,1030,I01030,-121.958,38.375
-121.9583343,38.45833377,1031,I01031,-121.958,38.458
-121.9583343,38.5416671,1032,I01032,-121.958,38.542
-121.9583343,38.62500043,1033,I01033,-121.958,38.625
-121.9583343,38.70833376,1034,I01034,-121.958,38.708
-121.9583343,38.79166709,1035,I01035,-121.958,38.792
-121.9583343,38.87500042,1036,I01036,-121.958,38.875
-121.9583343,38.95833375,1037,I01037,-121.958,38.958
-121.9583343,39.04166708,1038,I01038,-121.958,39.042
-121.9583343,39.12500041,1039,I01039,-121.958,39.125
-121.9583343,39.20833374,1040,I01040,-121.958,39.208
-121.9583343,39.29166707,1041,I01041,-121.958,39.292
-121.9583343,39.3750004,1042,I01042,-121.958,39.375
-121.9583343,39.45833373,1043,I01043,-121.958,39.458
-121.9583343,39.54166706,1044,I01044,-121.958,39.542
-121.9583343,39.62500039,1045,I01045,-121.958,39.625
-121.9583343,39.70833372,1046,I01046,-121.958,39.708
-121.9583343,39.79166705,1047,I01047,-121.958,39.792
-121.875001,38.12500045,1094,I01094,-121.875,38.125
-121.875001,38.20833378,1095,I01095,-121.875,38.208
-121.875001,38.29166711,1096,I01096,-121.875,38.292
-121.875001,38.37500044,1097,I01097,-121.875,38.375
-121.875001,38.45833377,1098,I01098,-121.875,38.458
-121.875001,38.5416671,1099,I01099,-121.875,38.542
-121.875001,38.62500043,1100,I01100,-121.875,38.625
-121.875001,38.70833376,1101,I01101,-121.875,38.708
-121.875001,38.79166709,1102,I01102,-121.875,38.792
-121.875001,38.87500042,1103,I01103,-121.875,38.875
-121.875001,38.95833375,1104,I01104,-121.875,38.958
-121.875001,39.04166708,1105,I01105,-121.875,39.042
-121.875001,39.12500041,1106,I01106,-121.875,39.125
-121.875001,39.29166707,1108,I01108,-121.875,39.292
-121.875001,39.3750004,1109,I01109,-121.875,39.375
-121.7916677,37.95833379,1156,I01156,-121.792,37.958
-121.7916677,38.20833378,1158,I01158,-121.792,38.208
-121.7916677,38.29166711,1159,I01159,-121.792,38.292
-121.7916677,38.37500044,1160,I01160,-121.792,38.375
-121.7916677,38.45833377,1161,I01161,-121.792,38.458
-121.7916677,38.5416671,1162,I01162,-121.792,38.542
-121.7916677,38.62500043,1163,I01163,-121.792,38.625
-121.7916677,38.70833376,1164,I01164,-121.792,38.708
-121.7916677,38.79166709,1165,I01165,-121.792,38.792
-121.7916677,38.87500042,1166,I01166,-121.792,38.875
