p_QNLEACHgl,gridID,1 Irrigated,2 Rainfed
7806 I25045,I25045,4.19,-14.78
7807 I25046,I25046,6.77,-14.3
7808 I25047,I25047,4.14,-15.79
7809 I25048,I25048,-0.86,-16.14
7810 I25049,I25049,1.77,-17.18
7811 I25050,I25050,0.47,-18.55
7812 I25051,I25051,-4.5,-20.64
7813 I25052,I25052,-13.58,-29.77
7814 I25053,I25053,-6.33,-22.25
7815 I25054,I25054,-8.18,-23.94
7816 I25055,I25055,-12.9,-28.05
7817 I25056,I25056,-5.57,-20.84
7818 I25057,I25057,-4.12,-22.09
7819 I25058,I25058,-1.61,-17.09
7820 I25059,I25059,3.26,-15.78
7821 I25060,I25060,5,-15.7
7822 I25061,I25061,3.2,-15.64
7823 I25062,I25062,-14.6,-13.74
7824 I25063,I25063,-3.33,-15.06
7825 I25064,I25064,5.43,-15.7
7826 I25065,I25065,-13.34,-13.01
7827 I25066,I25066,-13.13,-12.7
7828 I25067,I25067,-5.08,-13.51
7829 I25068,I25068,-12.74,-12.92
7830 I25069,I25069,-11.81,-12.29
7831 I25070,I25070,-4.39,-13.73
7832 I25071,I25071,-12.72,-13.24
7833 I25072,I25072,-12.63,-13.13
7834 I25073,I25073,-11.98,-14.04
7835 I25074,I25074,-13.5,-14.04
7836 I25075,I25075,-13.57,-14.02
7837 I25076,I25076,-13.18,-13.38
7838 I25077,I25077,0.49,-16
7839 I25087,I25087,8.21,-5.75
7840 I25088,I25088,11.33,-6.14
7841 I25092,I25092,-3.84,-6.73
7842 I25093,I25093,-1.56,-6.74
7843 I25094,I25094,-1.37,-6.69
7844 I25176,I25176,14.35,-3.73
7845 I25178,I25178,13.86,-4.09
7846 I25180,I25180,-6.74,-3.47
7847 I25181,I25181,-4.89,-4.3
7848 I25182,I25182,-6.86,-21.88
7849 I25183,I25183,-1.9,-19.47
7850 I25184,I25184,-5.28,-7.85
7851 I25185,I25185,-0.91,-5.96
7852 I25186,I25186,-12.69,-5.85
7853 I25187,I25187,-4.66,-8.27
7854 I25188,I25188,-0.97,-8.17
7855 I25189,I25189,1.26,-5.91
7856 I25190,I25190,3.01,-3.24
7857 I25191,I25191,-3.11,-7.8
7858 I25192,I25192,3.14,-7.43
7859 I25193,I25193,-2.37,-3.51
7860 I25194,I25194,-10.26,-7.15
7861 I25195,I25195,-3.69,-2.29
7862 I25196,I25196,-0.79,-2.57
7863 I25197,I25197,0.76,-2.52
7864 I25198,I25198,9.96,-3.3
7865 I25199,I25199,18.45,-4.71
7866 I25200,I25200,0.8,-9.05
7867 I25201,I25201,-8.51,-5.98
7868 I25202,I25202,6.01,-8.39
7869 I25203,I25203,4.28,-8.56
7870 I25204,I25204,-5.52,-7.48
7871 I25205,I25205,5.43,-10.27
7872 I25206,I25206,3.33,-10.93
7873 I25207,I25207,5.8,-11.5
7874 I25208,I25208,-0.42,-11.89
7875 I25209,I25209,-11.47,-10.98
7876 I25210,I25210,-0.29,-11.57
7877 I25211,I25211,9.16,-10.43
7878 I25212,I25212,-0.76,-10.04
7879 I25213,I25213,3.81,-10.1
7880 I25214,I25214,5.32,-10.05
7881 I25215,I25215,3,-10.05
7882 I25216,I25216,-4.25,-9.16
7883 I25217,I25217,-12.47,3.1
7884 I25218,I25218,-1.42,-9.78
7885 I25219,I25219,7.15,-9.22
7886 I25220,I25220,-11.01,-6.57
7887 I25221,I25221,4.26,-9.84
7888 I25222,I25222,7.72,-9.98
7889 I25223,I25223,-13.06,-7.68
7890 I25224,I25224,1.75,-10.57
7891 I25225,I25225,-6.05,-9.34
7892 I25226,I25226,-4.56,-10.04
7893 I25227,I25227,5.01,-10.57
7894 I25228,I25228,-7.22,-10.38
7895 I25229,I25229,1.46,-1.76
7896 I25230,I25230,-10.16,2
7897 I25231,I25231,-0.48,-9.69
7898 I25232,I25232,-9.31,-5.1
7899 I25233,I25233,-6.26,-4.82
7900 I25234,I25234,-1.76,-12.4
7901 I25235,I25235,-13.28,-12.31
7902 I25236,I25236,-9.84,-3.07
7903 I25237,I25237,-12.74,-2.21
7904 I25238,I25238,-13.36,-19.03
7905 I25239,I25239,-1.19,-6.42
7906 I25240,I25240,-3.21,-5.3
7907 I25241,I25241,-9.45,-0.77
7908 I25242,I25242,-12.67,-19.51
7909 I25243,I25243,-9.64,-2.8
7910 I25245,I25245,2.84,-2.59
7911 I25246,I25246,-14.98,-22.42
7912 I25247,I25247,-11.16,-20
7913 I25248,I25248,-4.79,-17.52
7914 I25249,I25249,-8.87,-17.92
7915 I25250,I25250,-8.54,-12.72
7916 I25251,I25251,-9.86,-15.33
7917 I25252,I25252,0.83,-10.45
7918 I25253,I25253,0.16,-10.46
7919 I25254,I25254,-7.35,-10.36
7920 I25255,I25255,-7.66,-11.07
7921 I25256,I25256,-2.51,-12.88
7922 I25257,I25257,-2.13,-11.1
7923 I25258,I25258,9.55,-8.23
7924 I25259,I25259,7.08,-7.58
7925 I25260,I25260,-3.11,-9.93
7926 I25261,I25261,-5.78,-13.2
7927 I25262,I25262,-8.29,-12.29
7928 I25263,I25263,-7.17,-10.9
7929 I25264,I25264,-6.57,-13.43
7930 I25265,I25265,1.91,-9.3
7931 I25266,I25266,-7.63,-10.98
7932 I25267,I25267,9.89,-7.86
7933 I25268,I25268,12,-8.06
7934 I25269,I25269,14.79,-6.96
7935 I25270,I25270,0.88,-5.91
7936 I25271,I25271,15.82,-9.07
7937 I25272,I25272,13.45,-8.72
7938 I25273,I25273,14.84,-9.35
7939 I25274,I25274,16.44,-8.25
7940 I25275,I25275,12.59,-8.26
7941 I25276,I25276,12.19,-8.59
7942 I25277,I25277,12.99,-10.48
7943 I25278,I25278,7.55,-9.71
7944 I25279,I25279,4.02,-12.24
7945 I25280,I25280,14.06,-10.92
7946 I25281,I25281,7.95,-12.13
7947 I25282,I25282,6.82,-14.26
7948 I25283,I25283,9.87,-14.18
7949 I25284,I25284,1.48,-16.98
7950 I25285,I25285,4.05,-14.75
7951 I25286,I25286,-0.76,-17.64
7952 I25287,I25287,7.55,-15.83
7953 I25288,I25288,1.44,-15.1
7954 I25289,I25289,-1.98,-18.58
7955 I25290,I25290,-2.38,-18.96
7956 I25291,I25291,-8.32,-23.74
7957 I25292,I25292,-8.07,-22.98
7958 I25293,I25293,-2.3,-19.4
7959 I25294,I25294,-5.12,-20.5
7960 I25295,I25295,-6.79,-22.04
7961 I25296,I25296,-10.79,-16.68
7962 I25297,I25297,-1.31,-17.53
7963 I25298,I25298,3.51,-15.47
7964 I25299,I25299,0.98,-15.69
7965 I25300,I25300,-3.8,-15.5
7966 I25301,I25301,-14.9,-13.86
7967 I25302,I25302,-3.47,-15.13
7968 I25303,I25303,-2.7,-14.87
7969 I25304,I25304,2.9,-14.66
7970 I25305,I25305,-12.18,-13.59
7971 I25306,I25306,0.31,-14.36
7972 I25307,I25307,-12.52,-12.87
7973 I25308,I25308,-5.04,-14.37
7974 I25309,I25309,-12.23,-12.72
7975 I25310,I25310,-1.82,-14.54
7976 I25311,I25311,-8.1,-13.74
7977 I25312,I25312,-1.34,-14.5
7978 I25313,I25313,-3.94,-15.14
7979 I25314,I25314,-13.77,-14.16
7980 I25315,I25315,-13.53,-13.74
7981 I25316,I25316,-13.59,-13.41
7982 I25317,I25317,-7.41,-14.11
7983 I25328,I25328,10.46,-6.33
7984 I25329,I25329,0.05,-5.62
7985 I25331,I25331,-2.56,-6.97
7986 I25332,I25332,-3.01,-6.69
7987 I25333,I25333,0.15,-5.62
7988 I25343,I25343,-0.43,-5.46
7989 I25410,I25410,-4.44,-17.66
7990 I25411,I25411,19.47,-3.6
7991 I25412,I25412,-10.3,-22.9
7992 I25413,I25413,0.3,-2.99
7993 I25415,I25415,1.89,-2.82
7994 I25416,I25416,-5.47,-3.86
7995 I25417,I25417,11.99,-7.8
7996 I25418,I25418,-0.68,-16.95
7997 I25419,I25419,-3.23,-18.32
7998 I25420,I25420,8.06,-6.55
7999 I25421,I25421,6.37,-7
8000 I25422,I25422,-7.66,-6.74
8001 I25423,I25423,7.08,-6.95
8002 I25424,I25424,-4,-3.77
8003 I25426,I25426,-5.07,-9.01
8004 I25427,I25427,-3.76,-8.8
8005 I25428,I25428,-5.08,-6.45
8006 I25429,I25429,15.66,-4.63
8007 I25430,I25430,12.15,-3.37
8008 I25431,I25431,2.01,-2.43
8009 I25432,I25432,-9.74,-5.66
8010 I25433,I25433,3.09,-5.82
8011 I25434,I25434,16.42,-4.81
8012 I25435,I25435,-2.51,-10.75
8013 I25436,I25436,15.26,-7.7
8014 I25437,I25437,7.34,-8
8015 I25438,I25438,17.64,-7.43
8016 I25439,I25439,13.99,-8.15
8017 I25440,I25440,2.86,-10.39
8018 I25441,I25441,17.12,-7.91
8019 I25442,I25442,5.26,-11.18
8020 I25443,I25443,4.25,-11.69
8021 I25444,I25444,-12.89,-10.89
8022 I25445,I25445,3.63,-13.83
8023 I25446,I25446,10.8,-10.55
8024 I25447,I25447,10.71,-11.1
8025 I25448,I25448,6.61,-10.37
8026 I25449,I25449,-4.73,-8.74
8027 I25450,I25450,0.73,-9.64
8028 I25451,I25451,-9.05,-7.87
8029 I25452,I25452,-12.25,-7.54
8030 I25453,I25453,-9.05,-8.62
8031 I25454,I25454,-11.15,-6.98
8032 I25455,I25455,-7.31,-7.85
8033 I25456,I25456,-8.34,-8.43
8034 I25457,I25457,-11.3,-6.84
8035 I25458,I25458,-12.93,-8.14
8036 I25459,I25459,0.5,-9.92
8037 I25460,I25460,9.54,-11.03
8038 I25461,I25461,-1.18,-10.64
8039 I25462,I25462,-0.3,-10.36
8040 I25463,I25463,2.45,-11.51
8041 I25464,I25464,3.56,-11.13
8042 I25465,I25465,-6.13,0.58
8043 I25466,I25466,-12.13,2.97
8044 I25467,I25467,-4.18,-4.9
8045 I25469,I25469,-16.7,-14.62
8046 I25470,I25470,-13.37,-12.23
8047 I25471,I25471,-10.16,-15.11
8048 I25472,I25472,-12.83,-0.88
8049 I25474,I25474,-10.53,-21.67
8050 I25475,I25475,8.77,-20.14
8051 I25476,I25476,-4.77,-3.56
8052 I25477,I25477,-12.45,-3.5
8053 I25478,I25478,-8.4,-18.65
8054 I25479,I25479,-10.18,-18.15
8055 I25480,I25480,1.98,-9.29
8056 I25481,I25481,0.02,-14.38
8057 I25482,I25482,-0.59,-12.56
8058 I25483,I25483,8.24,-13.29
8059 I25484,I25484,-1.94,-14.04
8060 I25485,I25485,-2.74,-14.32
8061 I25486,I25486,-1,-12.22
8062 I25487,I25487,-10.01,-11.16
8063 I25488,I25488,3.52,-10.25
8064 I25489,I25489,-11.09,-9.34
8065 I25490,I25490,0.16,-10.62
8066 I25491,I25491,0.35,-11.15
8067 I25492,I25492,3.56,-9.08
8068 I25493,I25493,-2.47,-10.42
8069 I25494,I25494,5.32,-10.19
8070 I25495,I25495,-7.75,-9.45
8071 I25496,I25496,-9.56,-11.51
8072 I25497,I25497,-2.48,-10.92
8073 I25498,I25498,5.06,-10.34
8074 I25499,I25499,-0.89,-10.11
8075 I25500,I25500,6.98,-8.68
8076 I25501,I25501,-9.09,-10.22
8077 I25502,I25502,3.42,-9.98
8078 I25503,I25503,11.16,-8.67
8079 I25504,I25504,19.6,-6.84
8080 I25505,I25505,16.79,-6.69
8081 I25506,I25506,16.19,-7.27
8082 I25507,I25507,15.73,-7.98
8083 I25508,I25508,15.42,-8.14
8084 I25509,I25509,14.79,-8.36
8085 I25510,I25510,14.86,-9.12
8086 I25511,I25511,16.79,-7.93
8087 I25512,I25512,10.67,-10.25
8088 I25513,I25513,11.51,-9.86
8089 I25514,I25514,13.1,-10.24
8090 I25515,I25515,7.07,-13.09
8091 I25516,I25516,7.79,-12.51
8092 I25517,I25517,12.81,-13.84
8093 I25518,I25518,3.73,-16.3
8094 I25519,I25519,2.66,-16.83
8095 I25520,I25520,7.45,-14.3
8096 I25521,I25521,1.95,-17.57
8097 I25522,I25522,2.36,-15.51
8098 I25523,I25523,1.74,-16.64
8099 I25524,I25524,-4.79,-20.47
8100 I25525,I25525,-10.8,-29.21
8101 I25526,I25526,-2.18,-20.22
8102 I25527,I25527,-2.18,-19.27
8103 I25528,I25528,-2.2,-19.23
8104 I25529,I25529,-0.12,-17.86
8105 I25530,I25530,-2.65,-17.09
8106 I25531,I25531,-9.96,-14.22
8107 I25532,I25532,2.61,-14.83
8108 I25533,I25533,-2.4,-16.07
8109 I25534,I25534,-10.83,-14.76
8110 I25535,I25535,-0.69,-15.86
8111 I25536,I25536,1.64,-16.39
8112 I25537,I25537,-9.96,-14.63
8113 I25538,I25538,-1.14,-15.73
8114 I25539,I25539,3.36,-15.5
8115 I25540,I25540,0.27,-15.99
8116 I25541,I25541,-1.27,-14.89
8117 I25542,I25542,-13.32,-13.29
8118 I25543,I25543,-4.23,-14.01
8119 I25544,I25544,-0.19,-14.93
8120 I25545,I25545,3.33,-14.23
8121 I25546,I25546,-4.21,-13.95
8122 I25547,I25547,-8.64,-13.8
8123 I25548,I25548,-12.44,-13.55
8124 I25549,I25549,-12.8,-12.97
8125 I25550,I25550,-12.65,-12.61
8126 I25551,I25551,-12.64,-12.51
8127 I25552,I25552,-12.68,-12.39
8128 I25558,I25558,-4.66,-7.1
8129 I25562,I25562,7.76,-5.78
8130 I25563,I25563,9.93,-6.53
8131 I25566,I25566,1.08,-6.56
8132 I25567,I25567,-0.43,-6.46
8133 I25568,I25568,3.86,-5.77
8134 I25588,I25588,-1.23,-5.25
8135 I25651,I25651,-8.73,-4.71
8136 I25652,I25652,19.25,-4.35
8137 I25653,I25653,17.31,-3.4
8138 I25654,I25654,17.96,-3.62
8139 I25655,I25655,13.1,-4.35
8140 I25656,I25656,7.37,-8.54
8141 I25657,I25657,7.8,-8.95
8142 I25658,I25658,7.55,-8.81
8143 I25659,I25659,-1.97,-18
8144 I25660,I25660,1.66,-7.96
8145 I25662,I25662,12.49,-6.39
8146 I25663,I25663,13.81,-4.76
8147 I25664,I25664,18.2,-3.27
8148 I25665,I25665,21.17,-4.07
8149 I25666,I25666,6.37,-5.95
8150 I25667,I25667,3.66,-8.12
8151 I25668,I25668,-6.26,-5.59
8152 I25669,I25669,-0.47,-7.46
8153 I25670,I25670,12.95,-3.24
8154 I25671,I25671,6.27,-3.37
8155 I25672,I25672,18.72,-4.02
8156 I25673,I25673,17.82,-4.54
8157 I25674,I25674,5.02,-4.21
8158 I25675,I25675,4.91,-10.13
8159 I25676,I25676,-3.78,-12.22
8160 I25677,I25677,15.42,-8.05
8161 I25678,I25678,15.51,-6.59
8162 I25679,I25679,8.3,-7.36
8163 I25680,I25680,3.79,-9.59
8164 I25681,I25681,10.94,-8.83
8165 I25682,I25682,0.14,-11.07
8166 I25683,I25683,2.41,-11.14
8167 I25684,I25684,-11.79,-11.53
8168 I25685,I25685,6.62,-9.63
8169 I25686,I25686,-9.15,-7.97
8170 I25687,I25687,10.49,-10.71
8171 I25688,I25688,9.55,-10.28
8172 I25689,I25689,-8.82,-8.11
8173 I25690,I25690,-11.94,-7.31
8174 I25691,I25691,-12.19,-7.55
8175 I25692,I25692,-11.81,-7.62
8176 I25693,I25693,-11.43,-7.32
8177 I25694,I25694,-11.93,-7.77
8178 I25695,I25695,-12.2,-8.01
8179 I25696,I25696,-11.11,-6.83
8180 I25697,I25697,4.74,-10.67
8181 I25698,I25698,5.22,-11.31
8182 I25699,I25699,-2.25,-10.37
8183 I25700,I25700,0.79,-10.57
8184 I25701,I25701,4.76,-2.71
8185 I25702,I25702,-10.92,2.37
8186 I25703,I25703,0.81,-1.59
8187 I25704,I25704,5.82,-2.71
8188 I25705,I25705,-9.83,-9.17
8189 I25706,I25706,-5,-4.69
8190 I25707,I25707,-13.28,-11.82
8191 I25708,I25708,-8.69,-0.53
8192 I25709,I25709,-8.96,-13.9
8193 I25711,I25711,-13.67,-18.31
8194 I25712,I25712,-13.42,-16.4
8195 I25713,I25713,0,-14.82
8196 I25714,I25714,-10.26,2.5
8197 I25716,I25716,-8.08,-15.36
8198 I25717,I25717,2.96,-1.48
8199 I25718,I25718,1.22,-12.87
8200 I25719,I25719,6,-12.98
8201 I25720,I25720,6.79,-13.56
8202 I25721,I25721,0.06,-13.55
8203 I25722,I25722,-3.68,-14.96
8204 I25723,I25723,-9.88,-12.07
8205 I25724,I25724,-10.69,-10.1
8206 I25725,I25725,-6.99,-11.02
8207 I25726,I25726,-4.62,-13.78
8208 I25727,I25727,-23.16,-13.39
8209 I25728,I25728,-4.26,-10.47
8210 I25729,I25729,-0.53,-10.33
8211 I25730,I25730,-8.4,-6.74
8212 I25731,I25731,7.17,-9.05
8213 I25732,I25732,5.09,-10.41
8214 I25733,I25733,-11.81,-11.02
8215 I25734,I25734,3.72,-9.94
8216 I25735,I25735,-4.62,-11.51
8217 I25736,I25736,8.76,-8.58
8218 I25737,I25737,-8.4,-12.83
8219 I25738,I25738,1.27,-10.28
8220 I25739,I25739,-10,-7.49
8221 I25740,I25740,11.19,-8.48
8222 I25741,I25741,10.49,-9.45
8223 I25742,I25742,11.79,-7.38
8224 I25743,I25743,14.48,-8.43
8225 I25744,I25744,11.51,-10.02
8226 I25745,I25745,9.96,-9.91
8227 I25746,I25746,13.29,-8.51
8228 I25747,I25747,16.1,-7.11
8229 I25748,I25748,15.3,-9.19
8230 I25749,I25749,4.63,-12.72
8231 I25750,I25750,8.2,-11.33
8232 I25751,I25751,5.71,-11.06
8233 I25752,I25752,6.11,-14.52
8234 I25753,I25753,4.57,-15.34
8235 I25754,I25754,2.82,-18.04
8236 I25755,I25755,1.35,-18.02
8237 I25756,I25756,3.37,-16.96
8238 I25757,I25757,5.59,-16.27
8239 I25758,I25758,4.46,-16.01
8240 I25759,I25759,3.9,-16.26
8241 I25760,I25760,4.41,-16.02
8242 I25761,I25761,8.04,-14.71
8243 I25762,I25762,9.09,-13.62
8244 I25763,I25763,9.6,-13.81
8245 I25764,I25764,4.8,-17.22
8246 I25765,I25765,8.16,-14.04
8247 I25766,I25766,-1.63,-16.28
8248 I25767,I25767,6.96,-14.11
8249 I25768,I25768,7.35,-13.9
8250 I25769,I25769,1.11,-13.67
8251 I25770,I25770,-2,-15.84
8252 I25771,I25771,3.96,-16.3
8253 I25772,I25772,2.91,-16.11
8254 I25773,I25773,-12.61,-14.1
8255 I25774,I25774,4.34,-15.61
8256 I25775,I25775,1.34,-15.13
8257 I25776,I25776,7.22,-16.26
8258 I25777,I25777,6.62,-15.75
8259 I25778,I25778,-4.86,-14.16
8260 I25779,I25779,1.51,-14.79
8261 I25780,I25780,-12.97,-13.39
8262 I25781,I25781,-4.41,-14.22
8263 I25782,I25782,-12.37,-13.01
8264 I25783,I25783,-12.35,-12.91
8265 I25784,I25784,-11.87,-12.23
8266 I25785,I25785,-12.6,-12.77
8267 I25786,I25786,-12.85,-12.91
8268 I25787,I25787,-12.82,-12.86
8269 I25788,I25788,-8.67,-13.07
8270 I25789,I25789,-12.5,-12.36
8271 I25797,I25797,-3,-7.23
8272 I25798,I25798,10.32,-5.7
8273 I25799,I25799,9.8,-5.89
8274 I25801,I25801,13.22,-5.83
8275 I25802,I25802,10.51,-5.57
8276 I25805,I25805,0.84,-6.6
8277 I25806,I25806,2.54,-6.14
8278 I25807,I25807,3.62,-6.12
8279 I25893,I25893,0.67,-5.57
8280 I25894,I25894,-4.39,-4.19
8281 I25895,I25895,3.1,-4.44
8282 I25896,I25896,11.06,-4.91
8283 I25897,I25897,11.45,-7.93
8284 I25898,I25898,8.78,-8.99
8285 I25899,I25899,13.86,-5.79
8286 I25900,I25900,6.14,-9.41
8287 I25901,I25901,-0.35,-8.07
8288 I25902,I25902,0.1,-8.85
8289 I25903,I25903,13.77,-6.28
8290 I25904,I25904,8.04,-5.27
8291 I25905,I25905,18.73,-4.63
8292 I25906,I25906,15.75,-4.43
8293 I25907,I25907,9.3,-6.44
8294 I25908,I25908,6.11,-8.05
8295 I25909,I25909,2.22,-2.64
8296 I25910,I25910,17.16,-3.15
8297 I25911,I25911,14.29,-5.18
8298 I25912,I25912,-0.79,-1.75
8299 I25913,I25913,17.7,-3.64
8300 I25914,I25914,0.3,-2.96
8301 I25915,I25915,10.91,-7.38
8302 I25916,I25916,7.87,-7.93
8303 I25917,I25917,2.19,-8.93
8304 I25918,I25918,11.93,-7.91
8305 I25919,I25919,17.81,-6.92
8306 I25920,I25920,-0.16,-9.5
8307 I25921,I25921,3.56,-10.03
8308 I25922,I25922,-2.05,-13.57
8309 I25923,I25923,-3.06,-11.43
8310 I25924,I25924,-14.3,-10.99
8311 I25925,I25925,-0.95,-12.72
8312 I25926,I25926,9.31,-11.21
8313 I25927,I25927,5.56,-2.63
8314 I25928,I25928,-3.82,0.22
8315 I25929,I25929,7.05,-3.01
8316 I25930,I25930,-11.34,-7.12
8317 I25931,I25931,-11.85,3.12
8318 I25932,I25932,-12.15,-7.57
8319 I25933,I25933,-12.01,-7.81
8320 I25934,I25934,-7.54,-7.94
8321 I25935,I25935,-12.23,-7.92
8322 I25936,I25936,-11.53,-7.4
8323 I25937,I25937,-10.1,-7.31
8324 I25938,I25938,-5.29,-9.17
8325 I25939,I25939,2.31,-10.97
8326 I25940,I25940,0.4,-10.56
8327 I25941,I25941,-1.04,-11.18
8328 I25942,I25942,2.24,-2.08
8329 I25943,I25943,0.27,-11.25
8330 I25944,I25944,-2.96,-0.62
8331 I25945,I25945,8.56,-3.42
8332 I25946,I25946,0.41,-11.33
8333 I25947,I25947,-16.03,2.07
8334 I25948,I25948,-14.13,-13.47
8335 I25949,I25949,-13.15,-12.34
8336 I25951,I25951,3.42,-18.02
8337 I25952,I25952,-9.25,-17.48
8338 I25953,I25953,0.5,-9.45
8339 I25954,I25954,-1.18,-16.36
8340 I25955,I25955,-13.66,-16.94
8341 I25956,I25956,-3.76,0.23
8342 I25957,I25957,3.29,-16.02
8343 I25958,I25958,-1.36,-12.57
8344 I25959,I25959,4.85,-12.48
8345 I25960,I25960,6.19,-12.63
8346 I25961,I25961,-4.63,-13.9
8347 I25962,I25962,-6.97,-16.33
8348 I25963,I25963,-17.09,-16.03
8349 I25964,I25964,-1.42,-12.16
8350 I25965,I25965,-5.35,-9.69
8351 I25966,I25966,6.69,-9.46
8352 I25967,I25967,-3.69,-12.9
8353 I25968,I25968,3.75,-10.76
8354 I25969,I25969,11.63,-10.38
8355 I25970,I25970,9.47,-9.67
8356 I25971,I25971,6,-10.16
8357 I25972,I25972,-2.67,-11.22
8358 I25973,I25973,-7.07,-12.74
8359 I25974,I25974,9.64,-7.71
8360 I25975,I25975,-1.61,-11
8361 I25976,I25976,5.59,-9.49
8362 I25977,I25977,5.55,-7.58
8363 I25978,I25978,6.7,-8.96
8364 I25979,I25979,13.83,-9.15
8365 I25980,I25980,11.99,-8.41
8366 I25981,I25981,-0.78,-8.19
8367 I25982,I25982,13.94,-9.9
8368 I25983,I25983,10.04,-9.77
8369 I25984,I25984,9.51,-11.77
8370 I25985,I25985,12.89,-11.36
8371 I25986,I25986,14.42,-9.33
8372 I25987,I25987,13.61,-9.36
8373 I25988,I25988,7.22,-12.54
8374 I25989,I25989,2.17,-14.38
8375 I25990,I25990,4.91,-14.63
8376 I25991,I25991,6.11,-14.97
8377 I25992,I25992,3.75,-15.99
8378 I25993,I25993,3.18,-15.45
8379 I25994,I25994,3.5,-17.03
8380 I25995,I25995,3.02,-17.2
8381 I25996,I25996,-1.29,-18.47
8382 I25997,I25997,4.85,-16.38
8383 I25998,I25998,2.7,-16.63
8384 I25999,I25999,2.95,-16.12
8385 I26000,I26000,5.91,-14.56
8386 I26001,I26001,8.05,-13.52
8387 I26002,I26002,3.49,-13.65
8388 I26003,I26003,4.07,-16.89
8389 I26004,I26004,7.85,-14.32
8390 I26005,I26005,1.82,-13.13
8391 I26006,I26006,6.02,-13.77
8392 I26007,I26007,6.11,-13.67
8393 I26008,I26008,2.99,-13.89
8394 I26009,I26009,0.96,-16.66
8395 I26010,I26010,-0.56,-16.13
8396 I26011,I26011,-0.35,-16.02
8397 I26012,I26012,-14.26,-14.16
8398 I26013,I26013,-1.08,-15.22
8399 I26014,I26014,0.46,-15.66
8400 I26015,I26015,1.57,-15.3
8401 I26016,I26016,-10.93,-13.69
8402 I26017,I26017,4.17,-15.1
8403 I26018,I26018,-0.78,-14.89
8404 I26019,I26019,4.12,-15.15
8405 I26020,I26020,-4.52,-13.98
8406 I26021,I26021,-12.2,-12.9
8407 I26022,I26022,5.39,-14.28
8408 I26023,I26023,2.64,-13.5
8409 I26024,I26024,-12.42,-12.7
8410 I26025,I26025,-12.02,-12.07
8411 I26026,I26026,-10.55,-13.12
8412 I26027,I26027,-1.27,-13.74
8413 I26033,I26033,10.26,-5.75
8414 I26034,I26034,13.51,-4.92
8415 I26036,I26036,11.27,-5.35
8416 I26039,I26039,1.59,-6.58
8417 I26040,I26040,1.15,-5.86
8418 I26041,I26041,1.18,-6.26
8419 I26042,I26042,3.83,-5.54
8420 I26054,I26054,-10.57,-6.96
8421 I26129,I26129,21.41,-3.75
8422 I26132,I26132,18.46,-4.13
8423 I26133,I26133,10.79,-8.26
8424 I26134,I26134,-10.8,-14.57
8425 I26135,I26135,8.84,-8.85
8426 I26136,I26136,8.35,-9.95
8427 I26137,I26137,18.18,-5.67
8428 I26138,I26138,12.53,-9.69
8429 I26139,I26139,10.43,-6.4
8430 I26140,I26140,-4.8,-5.17
8431 I26141,I26141,19.76,-4.74
8432 I26142,I26142,12.2,-4.23
8433 I26143,I26143,6.58,-6.44
8434 I26144,I26144,-0.86,-11.13
8435 I26145,I26145,18.28,-4.53
8436 I26146,I26146,9.03,-3.68
8437 I26147,I26147,22.64,-5.71
8438 I26148,I26148,23.06,-5.26
8439 I26149,I26149,11.14,-4.41
8440 I26150,I26150,-7.84,-8.68
8441 I26151,I26151,17.54,-6.81
8442 I26152,I26152,-0.68,-11.02
8443 I26153,I26153,10.42,-7.5
8444 I26154,I26154,8.21,-10.79
8445 I26155,I26155,9.13,-8.29
8446 I26156,I26156,-11.11,-10.43
8447 I26157,I26157,8.38,-12.35
8448 I26158,I26158,1.49,-11.08
8449 I26159,I26159,-11.23,-10.45
8450 I26160,I26160,-1.16,-13.03
8451 I26161,I26161,4.14,-14.06
8452 I26162,I26162,11.51,-11.8
8453 I26163,I26163,-9.96,-7.93
8454 I26164,I26164,6.25,-10.94
8455 I26165,I26165,-5.41,0.42
8456 I26166,I26166,-8.52,-8.76
8457 I26167,I26167,-12.01,3.18
8458 I26168,I26168,-8.07,-8.36
8459 I26169,I26169,-14.13,-13.94
8460 I26170,I26170,-7.41,-9.1
8461 I26171,I26171,-7.75,-8.2
8462 I26172,I26172,-10.94,-7.06
8463 I26173,I26173,-11.5,-7.51
8464 I26174,I26174,4.86,-10.58
8465 I26175,I26175,10.46,-11.98
8466 I26176,I26176,7.54,-11.27
8467 I26177,I26177,2.75,-10.86
8468 I26178,I26178,-0.24,-1.44
8469 I26179,I26179,-3.35,-10.49
8470 I26180,I26180,7.12,-12.92
8471 I26181,I26181,-3.27,-0.66
8472 I26182,I26182,-0.78,-12.25
8473 I26183,I26183,-16.14,2.11
8474 I26184,I26184,-11.92,-16.1
8475 I26185,I26185,-0.74,-14.35
8476 I26186,I26186,-4.93,-16.73
8477 I26187,I26187,-1.35,-3.43
8478 I26188,I26188,-9.91,-13.44
8479 I26189,I26189,-0.22,-8.84
8480 I26190,I26190,-2.39,-19.04
8481 I26191,I26191,4.98,-7.71
8482 I26192,I26192,-2.1,-10.17
8483 I26193,I26193,3.83,-10.57
8484 I26194,I26194,4.06,-14.7
8485 I26195,I26195,-5.53,-11.06
8486 I26196,I26196,2.05,-14.05
8487 I26197,I26197,-2.78,-15.61
8488 I26198,I26198,7.26,-11.99
8489 I26199,I26199,8.56,-11.09
