p_QNLEACHgl,gridID,1 Irrigated,2 Rainfed
164 I01218,I01218,-2.07,-15.03
165 I01219,I01219,3.15,-15.32
166 I01220,I01220,-6.72,-10.34
167 I01221,I01221,-8.12,-8.17
168 I01222,I01222,-8.06,-13.98
169 I01223,I01223,-7.54,-16.53
170 I01224,I01224,-9.86,-15.48
171 I01225,I01225,-11.29,-14.6
172 I01226,I01226,-4.22,-17.48
173 I01227,I01227,-2.49,-6.68
174 I01229,I01229,-6.41,-18.34
175 I01230,I01230,-3.55,-13.95
176 I01267,I01267,13.69,-4.14
177 I01268,I01268,5.61,-14.72
178 I01269,I01269,6.3,-15.88
179 I01272,I01272,5.96,-16.82
180 I01273,I01273,4.19,-14.32
181 I01274,I01274,-0.32,-7.67
182 I01275,I01275,0.38,-16.69
183 I01276,I01276,-1.71,-15.37
184 I01277,I01277,-2.39,-8.47
185 I01278,I01278,2.55,-16.99
186 I01279,I01279,-9.76,-12.52
187 I01280,I01280,-9.26,-14.93
188 I01281,I01281,-8.18,-15.52
189 I01282,I01282,-8.53,-9.91
190 I01284,I01284,-6.92,-9.85
191 I01321,I01321,10.99,-45.23
192 I01322,I01322,7.93,-18.56
193 I01323,I01323,6,-10
194 I01324,I01324,6.52,-16.6
195 I01327,I01327,1.51,-16.49
196 I01328,I01328,4.9,-18.65
197 I01329,I01329,3.52,-16.49
198 I01330,I01330,3.5,-17.38
199 I01331,I01331,-1.29,-9.25
200 I01332,I01332,2.43,-17.26
201 I01333,I01333,-5.37,-9.09
202 I01334,I01334,-7.23,-15.46
203 I01335,I01335,-9.46,-16.55
204 I01336,I01336,-8.18,-9.26
205 I01337,I01337,-1.81,-17.36
206 I01338,I01338,-2.32,-16.42
207 I01340,I01340,-3.79,-16.31
208 I01385,I01385,4.94,-10.27
209 I01386,I01386,-2.25,-8.19
210 I01387,I01387,8.14,-16
211 I01388,I01388,6.98,-9.56
212 I01390,I01390,3.76,-16.61
213 I01391,I01391,-1.51,-13.51
214 I01392,I01392,-3.41,-10.83
215 I01393,I01393,-3.96,-17.69
216 I01395,I01395,8.08,-24.7
217 I01396,I01396,0.25,-9.79
218 I01397,I01397,3.64,-17.03
219 I01398,I01398,-3.99,-16.18
220 I01399,I01399,-5.35,-8.77
221 I01400,I01400,-3.99,-14.06
222 I01401,I01401,-4.26,-15.33
223 I01446,I01446,4.25,-1.78
224 I01447,I01447,5.73,-10.37
225 I01448,I01448,-1.8,-14.49
226 I01449,I01449,-1.16,-9.4
227 I01450,I01450,8.83,-17.25
228 I01453,I01453,-0.52,-18.17
229 I01454,I01454,-5.05,-2.19
230 I01455,I01455,-0.33,-15.73
231 I01460,I01460,6.45,-17.53
232 I01461,I01461,-1.36,-15.41
233 I01462,I01462,-1.99,-11.21
234 I01511,I01511,7.91,-9.94
235 I01512,I01512,6.32,-10.02
236 I01513,I01513,7.36,-10.49
237 I01514,I01514,0.46,-3.31
238 I01515,I01515,-9.24,-15.28
239 I01516,I01516,5.33,-16.02
240 I01517,I01517,5.4,-16.83
241 I01518,I01518,-1.22,-10.04
242 I01519,I01519,6.13,-10.28
243 I01520,I01520,8.44,-25.04
244 I01521,I01521,7.66,-16.71
245 I01522,I01522,1.39,-17.71
246 I01582,I01582,10.99,-12.79
247 I01583,I01583,6.13,-7.97
248 I01584,I01584,2.23,-9
249 I01585,I01585,4.86,-15.77
250 I01586,I01586,-9.08,-16.08
251 I01587,I01587,3.76,-14.34
252 I01588,I01588,5.32,-16.4
253 I01589,I01589,3.4,-8.05
254 I01590,I01590,-2.57,-8.18
255 I01591,I01591,4,-9.4
256 I01592,I01592,7.73,-15.63
257 I01593,I01593,0.36,-17.71
258 I01594,I01594,1.09,-17.7
259 I01643,I01643,5.43,-45.9
260 I01644,I01644,7.22,-8.52
261 I01645,I01645,9.33,-17.06
262 I01646,I01646,6.38,-14.09
263 I01647,I01647,4.3,-17.12
264 I01648,I01648,2.65,-17.64
265 I01649,I01649,-9.34,-15.25
266 I01650,I01650,3.29,-14.02
267 I01651,I01651,4.37,-10.56
268 I01652,I01652,7.13,-17.72
269 I01653,I01653,10.61,-15.54
270 I01654,I01654,4.39,-17.71
271 I01655,I01655,0.17,-10.69
272 I01657,I01657,-1.61,-17.69
273 I01707,I01707,17.29,-5.56
274 I01708,I01708,14.79,-19.56
275 I01709,I01709,21.13,-15.61
276 I01710,I01710,11.4,-16.43
277 I01711,I01711,17.78,-25.17
278 I01712,I01712,9.78,-10.24
279 I01713,I01713,3.51,-16.53
280 I01714,I01714,2.63,-14.85
281 I01715,I01715,4.61,-10.77
282 I01716,I01716,-8.67,-17.69
283 I01717,I01717,4.8,-9.07
284 I01718,I01718,4.2,-17.65
285 I01719,I01719,6.67,-17.23
286 I01721,I01721,10.28,-24.81
287 I01769,I01769,17.2,-48.31
288 I01770,I01770,8.62,-14.67
289 I01771,I01771,10.25,-45.54
290 I01772,I01772,10.68,-45.19
291 I01773,I01773,11.43,-10.06
292 I01774,I01774,-7.65,-9.74
293 I01775,I01775,-7.68,-9.99
294 I01776,I01776,2.44,-7.97
295 I01777,I01777,3.26,-15.79
296 I01778,I01778,5.28,-17.4
297 I01779,I01779,5.43,-10.31
298 I01780,I01780,12.08,-25.08
299 I01781,I01781,6.86,-25.01
300 I01782,I01782,7.56,-47.26
301 I01784,I01784,-7.01,-22.46
302 I01836,I01836,11.96,-10.08
303 I01837,I01837,11,-15.82
304 I01838,I01838,9.99,-16.01
305 I01839,I01839,10.32,-44.97
306 I01840,I01840,20.18,-16.63
307 I01841,I01841,-7.65,-9.99
308 I01842,I01842,-8.06,-9.82
309 I01843,I01843,2.23,-9.11
310 I01844,I01844,4.7,-10.53
311 I01845,I01845,9.42,-10.42
312 I01846,I01846,5.39,-8.67
313 I01847,I01847,10.24,-25.05
314 I01848,I01848,11.29,-47.34
315 I01901,I01901,9.07,-46.55
316 I01902,I01902,9.49,-8.47
317 I01903,I01903,10.52,-45.15
318 I01904,I01904,8.25,-44.81
319 I01905,I01905,9,-45.99
320 I01906,I01906,-8.15,-9.09
321 I01907,I01907,-7.34,-10.14
322 I01908,I01908,-8.01,-8.73
323 I01909,I01909,7.54,-10.1
324 I01910,I01910,1.33,-6.89
325 I01911,I01911,4.6,-10.45
326 I01912,I01912,10.68,-25.05
327 I01962,I01962,13.27,-20.88
328 I01975,I01975,7.69,-16.08
329 I01976,I01976,9.6,-2.16
330 I01977,I01977,9.71,-44.71
331 I01978,I01978,13.34,-2.61
332 I01979,I01979,11.7,-9.75
333 I01980,I01980,6.94,-10.07
334 I01981,I01981,-6.96,-10.89
335 I01982,I01982,-7.42,-9.67
336 I01983,I01983,-7.36,-10.31
337 I01984,I01984,4.7,-17.41
338 I01985,I01985,4.03,-9.52
339 I01986,I01986,6.11,-16.98
340 I02055,I02055,8.98,-17.62
341 I02056,I02056,8.51,-17.1
342 I02057,I02057,8.58,-15.61
343 I02058,I02058,11.27,-2.2
344 I02059,I02059,10.76,-9.13
345 I02060,I02060,10.92,-9.31
346 I02061,I02061,18,-15.5
347 I02062,I02062,-7.47,-9.99
348 I02063,I02063,-8.05,-8.64
349 I02064,I02064,3.66,-9.32
350 I02065,I02065,2.4,-13.96
351 I02066,I02066,3.74,-9.39
352 I02067,I02067,5.24,-10.25
353 I02107,I02107,13.45,-17.66
354 I02111,I02111,15.91,-17.35
355 I02130,I02130,7.22,-16.03
356 I02131,I02131,7.27,-15.81
357 I02132,I02132,5.72,-14.51
358 I02133,I02133,9.07,-9.46
359 I02134,I02134,9.8,-1.79
360 I02135,I02135,10.53,-8.98
361 I02136,I02136,9.39,-16.99
362 I02137,I02137,9.65,-16.99
363 I02138,I02138,18.15,-16.09
364 I02139,I02139,-5.51,-15.44
365 I02140,I02140,-8.25,-8.24
366 I02141,I02141,7.81,-8.81
367 I02142,I02142,11.79,-47.46
368 I02185,I02185,10,-4.91
369 I02186,I02186,9.42,-5.33
370 I02187,I02187,12.74,-5.5
371 I02215,I02215,7.51,-16.76
372 I02216,I02216,5.98,-14.76
373 I02217,I02217,9.39,-9.42
374 I02218,I02218,10.54,-9.69
375 I02219,I02219,6.72,-45.78
376 I02220,I02220,6.48,-15.4
377 I02221,I02221,5.33,-9.85
378 I02222,I02222,10.03,-2.96
379 I02223,I02223,11.13,-17.08
380 I02224,I02224,18.78,-15.46
381 I02225,I02225,9.46,-45.92
382 I02280,I02280,8.08,-4.42
383 I02281,I02281,5.79,-4.67
384 I02282,I02282,9.7,-5.26
385 I02283,I02283,-5.58,-3.6
386 I02314,I02314,18.79,-15.66
387 I02315,I02315,9.2,-8.94
388 I02316,I02316,7.84,-45.93
389 I02317,I02317,15.88,-5.14
390 I02318,I02318,0.26,-9.24
391 I02319,I02319,2.34,-15.19
392 I02320,I02320,7.35,-14.08
393 I02321,I02321,9.41,-15.64
394 I02323,I02323,-0.9,-47.51
395 I02370,I02370,8.63,-15
396 I02371,I02371,5.82,-4.7
397 I02372,I02372,8.49,-4.62
398 I02373,I02373,9.41,-24.97
399 I02396,I02396,7.71,-16.94
400 I02399,I02399,10.02,-16.76
401 I02400,I02400,9.68,-3.48
402 I02401,I02401,16.43,-15.46
403 I02402,I02402,7.6,-3.11
404 I02403,I02403,16.07,-47.29
